Designator,Mid X,Mid Y,Rotation,Layer
C1,96.9,-34.52,90.0,top
C10,91.8,-49.6,0.0,top
C11,100.02,-45.2,0.0,top
C12,100.07,-34.0,180.0,top
C13,102.4,-69.6,180.0,top
C14,102.8,-64.0,270.0,top
C15,89.1,-76.5,0.0,top
C16,104.2,-75.32,270.0,top
C17,102.309947,-40.816254,0.0,top
C18,103.079985,-46.39001,180.0,top
C2,97.9,-34.52,90.0,top
C3,100.16,-41.0,0.0,top
C4,97.4,-36.1,180.0,top
C5,100.18,-39.9,0.0,top
C6,96.8,-37.58,90.0,top
C7,89.7,-43.8,180.0,top
C8,91.8,-50.89,180.0,top
C9,101.025,-37.1,0.0,top
D1,99.61,-71.6,90.0,top
D2,100.7,-71.6,90.0,top
D3,101.8,-71.6,90.0,top
D4,96.75,-67.5,180.0,top
D5,102.9,-71.6,90.0,top
DP1,96.5,-55.15,0.0,top
J1,96.0,-79.0,0.0,top
J3,85.4,-52.03,0.0,top
J4,106.9,-52.03,0.0,top
L1,97.894382,-37.568114,270.0,top
L2,100.55,-35.6,90.0,top
Q1,89.8,-59.2375,270.0,top
R1,89.8,-56.2,90.0,top
R10,87.5,-75.8,270.0,top
R11,104.2,-73.39,270.0,top
R12,100.2,-43.0,270.0,top
R2,89.3,-61.8,180.0,top
R3,92.3,-73.6,180.0,top
R4,101.2,-73.6,0.0,top
R5,96.260121,-72.429941,90.0,top
R6,97.3,-72.4,90.0,top
R7,100.1,-69.9,0.0,top
R8,88.4,-68.3,0.0,top
R9,92.2,-65.1,180.0,top
SW2,85.25,-74.0,270.0,top
SW3,106.75,-74.0,90.0,top
SW4,87.0,-79.099999,180.0,top
SW5,105.05,-79.075,180.0,top
U1,95.0,-43.9,0.0,top
U2,91.6125,-67.3,180.0,top
U3,101.7,-67.4,180.0,top
U4,97.25,-61.025,0.0,top
Y1,102.85,-43.6,270.0,top
