"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
2;"R1,R2,R3";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"R";;;
3;"D1";"LED_0201_0603Metric";1;"LED";;;
4;"J2,J3";"PinHeader_1x20_P2.00mm_Vertical";2;"Conn_01x20";;;
5;"C13,C14,C3,C8,C11,C6,C4,C5,C7,C10,C2,C9,C1,C12";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";14;"C";;;
6;"S2,S1";"SW_TL3365AF180QG";2;"TL3365AF180QG";;;
7;"D2,D3";"LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"LED";;;
8;"Y1";"Crystal_SMD_EuroQuartz_X22-4Pin_2.5x2.0mm";1;"Crystal_GND24_Small";;;
9;"U2";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
10;"J4";"PinHeader_1x03_P2.00mm_Vertical";1;"Conn_01x03";;;
11;"TP1";"TestPoint_Pad_1.0x1.0mm";1;"RESET";;;
12;"TP2";"TestPoint_Pad_1.0x1.0mm";1;"USB_DP";;;
13;"TP4";"TestPoint_Pad_1.0x1.0mm";1;"BOOTSEL";;;
14;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q32JVSS";;;
15;"U1";"SOT-23-5";1;"MIC5205-3.3YM5";;;
16;"TP3";"TestPoint_Pad_1.0x1.0mm";1;"USB_DM";;;
