Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C5, C6, C7, C8, C9",0201,9,100nF,
"C12, C13",0201,2,2.2uF,
"C14, C15",0201,2,15pF,
"C3, C4",0201,2,1uF,
"D1, D2",0201,2,LED,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
"J2, J3",PinHeader_1x20_2H_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",0201,2,200,
"R3, R4",0201,2,12,
R5,0201,1,NO-FIT,
R6,0201,1,1K,
S1,SW_TL3365AF180QG,1,TL3365AF180QG,
TP1,TestPoint_Pad_D1.0mm,1,USB_DP,
TP2,TestPoint_Pad_D1.0mm,1,USB_DM,
TP3,TestPoint_Pad_D1.0mm,1,RESET,
TP4,TestPoint_Pad_D1.0mm,1,FLASH_SS,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,TSOT-23-5,1,ADP7142AUJZ-3.3,
U3,PSON50P200X300X50-9N,1,GD25Q16CEIGR,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz,
