"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R4";"R_0201_0603Metric";2;"12";;;
2;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
3;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
4;"C3,C4";"C_0201_0603Metric";2;"1uF";;;
5;"S1";"SW_TL3365AF180QG";1;"TL3365AF180QG";;;
6;"U2";"TSOT-23-5";1;"ADP7142AUJZ-3.3";;;
7;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
8;"C1,C2,C10,C11,C9,C6,C5,C8,C7";"C_0201_0603Metric";9;"100nF";;;
9;"R5";"R_0201_0603Metric";1;"NO-FIT";;;
10;"J2,J3";"PinHeader_1x20_2H_P2.54mm_Vertical";2;"Conn_01x20";;;
11;"R1,R2";"R_0201_0603Metric";2;"200";;;
12;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"12MHz";;;
13;"C15,C14";"C_0201_0603Metric";2;"15pF";;;
14;"D2,D1";"LED_0201_0603Metric";2;"LED";;;
15;"C12,C13";"C_0201_0603Metric";2;"2.2uF";;;
16;"R6";"R_0201_0603Metric";1;"1K";;;
17;"U3";"PSON50P200X300X50-9N";1;"GD25Q16CEIGR";;;
18;"TP2";"TestPoint_Pad_D1.0mm";1;"USB_DM";;;
19;"TP1";"TestPoint_Pad_D1.0mm";1;"USB_DP";;;
20;"TP4";"TestPoint_Pad_D1.0mm";1;"FLASH_SS";;;
21;"TP3";"TestPoint_Pad_D1.0mm";1;"RESET";;;
