Designator,Mid X,Mid Y,Rotation,Layer
C1,90.4,-54.92,90.0,top
C10,96.03,-55.45,0.0,top
C11,96.035,-56.3,0.0,top
C12,95.375,-44.73,90.0,top
C13,96.73,-52.85,0.0,top
C14,92.95,-68.75,270.0,top
C15,88.1,-69.345,90.0,top
C2,92.7,-66.795,270.0,top
C3,93.95,-67.795,270.0,top
C4,85.65,-56.345,90.0,top
C5,94.38,-53.775,0.0,top
C6,94.38,-54.6,0.0,top
C7,94.38,-55.45,0.0,top
C8,96.03,-53.75,0.0,top
C9,96.03,-54.6,0.0,top
D1,95.475,-42.0675,270.0,top
D2,85.025,-42.7425,270.0,top
J1,90.405,-42.815,180.0,top
J2,81.6,-41.3,0.0,top
J3,99.4,-41.3,0.0,bottom
J4,88.325,-89.125,90.0,top
R1,91.475,-54.95,270.0,top
R2,92.525,-54.955,270.0,top
R3,94.76,-52.15,0.0,top
R4,93.2,-51.305,90.0,top
R5,85.05,-49.1,270.0,top
R6,85.45,-54.55,270.0,top
S1,87.575,-48.75,90.0,top
U1,90.2625,-60.7,0.0,top
U2,95.4,-49.5125,270.0,top
U3,87.35,-54.23,90.0,top
Y1,90.475,-68.7,0.0,top
