Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0201_0603Metric",90.400000,-54.920000,90.000000,top
"C2","100nF","C_0201_0603Metric",92.700000,-66.795000,-90.000000,top
"C3","1uF","C_0201_0603Metric",93.950000,-67.795000,-90.000000,top
"C4","1uF","C_0201_0603Metric",85.650000,-56.345000,90.000000,top
"C5","100nF","C_0201_0603Metric",94.380000,-53.775000,0.000000,top
"C6","100nF","C_0201_0603Metric",94.380000,-54.600000,0.000000,top
"C7","100nF","C_0201_0603Metric",94.380000,-55.450000,0.000000,top
"C8","100nF","C_0201_0603Metric",96.030000,-53.750000,0.000000,top
"C9","100nF","C_0201_0603Metric",96.030000,-54.600000,0.000000,top
"C10","100nF","C_0201_0603Metric",96.030000,-55.450000,0.000000,top
"C11","100nF","C_0201_0603Metric",96.035000,-56.300000,0.000000,top
"C12","2.2uF","C_0201_0603Metric",95.375000,-44.730000,90.000000,top
"C13","2.2uF","C_0201_0603Metric",96.730000,-52.850000,0.000000,top
"C14","15pF","C_0201_0603Metric",92.950000,-68.750000,-90.000000,top
"C15","15pF","C_0201_0603Metric",88.100000,-69.345000,90.000000,top
"D1","LED","LED_0201_0603Metric",95.475000,-42.067500,-90.000000,top
"D2","LED","LED_0201_0603Metric",85.025000,-42.742500,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",90.405000,-42.815000,180.000000,top
"R1","200","R_0201_0603Metric",91.475000,-54.950000,-90.000000,top
"R2","200","R_0201_0603Metric",92.525000,-54.955000,-90.000000,top
"R3","12","R_0201_0603Metric",94.760000,-52.150000,0.000000,top
"R4","12","R_0201_0603Metric",93.200000,-51.305000,90.000000,top
"R5","NO-FIT","R_0201_0603Metric",85.050000,-49.100000,-90.000000,top
"R6","1K","R_0201_0603Metric",85.450000,-54.550000,-90.000000,top
"S1","TL3365AF180QG","SW_TL3365AF180QG",87.575000,-48.750000,90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",90.262500,-60.700000,0.000000,top
"U2","ADP7142AUJZ-3.3","TSOT-23-5",95.400000,-49.512500,-90.000000,top
"U3","GD25Q16CEIGR","PSON50P200X300X50-9N",87.350000,-54.230000,90.000000,top
"Y1","12MHz","Crystal_SMD_2520-4Pin_2.5x2.0mm",90.475000,-68.700000,0.000000,top
