Designator,Mid X,Mid Y,Rotation,Layer
AE1,80.79,-68.25,0.0,top
C1,81.8,-35.5,90.0,top
C10,79.3,-35.545,90.0,top
C11,84.655,-34.6,0.0,top
C12,86.355,-25.4,0.0,top
C13,86.955,-31.1,0.0,top
C14,80.1,-49.655,270.0,top
C15,77.255,-51.4,0.0,top
C16,83.8,-62.3,270.0,top
C17,81.755,-64.1,0.0,top
C18,77.89,-64.795,90.0,top
C2,82.58,-35.5,90.0,top
C3,83.3,-35.5,90.0,top
C4,76.4,-37.2,90.0,top
C5,82.855,-32.8,0.0,top
C6,80.5,-47.355,270.0,top
C7,86.48,-41.9,0.0,top
C8,84.3,-36.845,90.0,top
C9,80.0,-35.545,90.0,top
D1,86.055,-23.9,180.0,top
D2,75.8,-23.72,90.0,top
J1,80.535,-22.885,180.0,top
J2,71.6,-44.16,0.0,top
J3,89.39,-44.16,0.0,bottom
J4,84.81,-49.09,0.0,top
R1,80.6,-33.555,270.0,top
R2,81.3,-33.555,270.0,top
R3,84.855,-31.0,0.0,top
R4,83.2,-30.645,90.0,top
R5,75.8,-35.355,270.0,top
R6,76.2,-30.355,270.0,top
R7,80.4,-60.045,90.0,top
SW1,78.425,-28.65,90.0,top
U1,80.3625,-41.8,0.0,top
U2,85.55,-28.5625,270.0,top
U3,77.45,-33.27,90.0,top
U4,78.9625,-56.05,180.0,top
U5,83.45,-58.87,90.0,top
Y1,77.925,-49.4,0.0,top
Y2,81.9,-62.45,0.0,top
