Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C6, C7, C9",0402,9,100n,
"C11, C8",0402,2,1u,
"C12, C13",0402,2,15pF,
C14,0402,1,470pF,
C15,CP_EIA-1608-08_AVX-J,1,2.2pF,
D1,D_SOD-123F,1,D_Schottky,
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D3,0402,1,BLUE,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",0402,2,200,
"R3, R5",0402,2,1k,
"R6, R7",0402,2,5.1k,
"R8, R9",0402,2,10k,
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,434133025816,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,8-USON-2X3,1,W25Q32JVSS,
U3,SOT-23-5,1,MIC5205-3.3YM5,
U4,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,ADXL343,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz,
