Designator,Mid X,Mid Y,Rotation,Layer
C1,75.3,-47.4,135.0,top
C10,82.637502,-57.025,270.0,top
C11,82.7,-46.08,90.0,top
C12,75.725,-60.5,270.0,top
C13,80.225,-59.08,270.0,top
C14,83.9,-43.35,90.0,top
C15,86.35,-45.45,180.0,top
C2,75.18,-52.2,180.0,top
C3,80.95,-56.65,315.0,top
C4,86.239411,-53.439411,315.0,top
C5,87.15,-47.2,315.0,top
C6,85.05,-48.35,270.0,top
C7,86.410589,-47.910589,315.0,top
C8,83.75,-46.15,90.0,top
C9,83.6,-57.02,270.0,top
D1,86.0,-39.0,180.0,top
D2,80.0,-69.0,0.0,top
D3,74.2,-31.715,270.0,top
J1,80.5,-33.0,180.0,top
J2,79.945,-79.0,90.0,top
J3,70.43,-55.49,0.0,top
J4,90.52,-55.5,0.0,bottom
R1,80.55,-45.4,270.0,top
R2,81.55,-45.4,270.0,top
R3,74.7,-45.2,270.0,top
R5,79.5,-56.65,90.0,top
R6,81.75,-39.16,270.0,top
R7,78.75,-39.15,270.0,top
R8,81.5,-60.75,180.0,top
R9,83.199999,-63.05,180.0,top
SW1,76.175,-40.65,270.0,top
U1,80.4,-51.2,0.0,top
U2,76.55,-45.28,90.0,top
U3,86.2,-42.55,270.0,top
U4,79.45,-63.05,90.0,top
Y1,78.0,-59.3,0.0,top
