Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C2, C3, C5, C6",0402,7,100n,
C10,0402,1,1u,
"C11, C4, C7",0402,3,10u,
C14,0402,1,470pF,
C15,0402,1,2.2u,
"C16, C17",0402,2,1.6pF,
"C8, C9",0402,2,18pF,
D1,0402,1,GREEN,
D2,0402,1,BLUE,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
L1,0402,1,2.2n,
L2,0402,1,2.7n,
"R1, R3, R4",0402,3,22,
"R2, R5, R6, R7",0402,4,5.1k,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
TP1,TestPoint_Pad_D1.0mm,1,BOOTSEL,
TP2,TestPoint_Pad_D1.0mm,1,EN,
TP3,TestPoint_Pad_D1.0mm,1,VDD,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S2R2,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,
U3,SOT-23-5,1,MIC5205-3.3YM5,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
