Designator,Mid X,Mid Y,Rotation,Layer
C1,76.5,-52.0,180.0,top
C10,75.1,-39.0,180.0,top
C11,86.98,-47.5,180.0,top
C12,78.6675,-46.2,180.0,top
C13,88.6,-38.9,180.0,top
C14,75.02,-44.5,180.0,top
C15,78.0,-44.75,0.0,top
C16,75.38,-56.2,180.0,top
C17,75.38,-58.99,180.0,top
C2,86.73,-52.5,0.0,top
C3,76.52,-55.2,180.0,top
C4,76.52,-54.0,180.0,top
C5,80.4,-57.4,0.0,top
C6,81.1,-58.92,90.0,top
C7,82.05,-58.92,90.0,top
C8,74.38,-50.7,180.0,top
C9,75.02,-45.5,0.0,top
D1,74.2,-31.4,0.0,top
D2,91.25,-31.1,0.0,top
J1,93.0,-45.12,0.0,bottom
J2,71.99,-45.2,0.0,top
J3,82.0,-32.5,180.0,top
L1,79.95,-58.935,90.0,top
L2,75.86,-57.6,90.0,top
R1,76.52,-53.0,0.0,top
R2,74.4,-40.71,90.0,top
R3,87.01,-50.0,0.0,top
R4,87.01,-50.99,0.0,top
R5,88.85,-40.65,180.0,top
R6,83.4,-38.6,270.0,top
R7,80.31,-38.6,270.0,top
SW1,74.9,-35.5,90.0,top
SW2,89.625,-35.15,90.0,top
U1,81.7,-51.9,90.0,top
U2,84.7,-44.1,180.0,top
U3,76.7,-41.8875,270.0,top
Y1,75.4,-48.1,90.0,top
